Wind_Speed,Wind_Direction,Air_Pressure
0.79625,170.225,101.2035
1.165,175.05,101.1766
1.85325,188.325,101.2018
1.48825,176.25,101.2846
1.43575,180.925,101.3441
0.929,136.2,101.4056
0.95525,138.025,101.5773
1.11525,97.4,101.5216
1.2785,104.075,101.5608
1.28625,99.905,101.6049
1.06325,88.2375,101.6173
0.7525,120.8475,101.542
0.83375,150.725,101.5089
1.27525,173.325,101.5154
1.16725,161.35,101.5179
0.977,151.375,101.4755
1.07625,86.1675,101.5077
1.3575,28.485,101.509
0.86875,33.2075,101.5394
0.64725,42.5725,101.5851
0.59125,71.365,101.6129
0.53975,26.3475,101.5947
0.372,67.515,101.6149
0.44625,36.5375,101.6217
0.6365,82.11,101.5542
0.2875,140.06,101.5744
0.4445,229.65,101.5677
0.39725,230.1,101.5744
0.48575,227.05,101.6082
0.747,212.125,101.6352
0.90825,231.25,101.6205
1.02325,232.025,101.6422
0.831,238.15,101.6167
1.02575,214.2,101.5673
1.07425,236.6,101.4738
1.039,238.8,101.4196
0.72825,210.0,101.3791
0.7675,221.875,101.3386
0.92925,233.675,101.2711
0.57675,233.175,101.2207
0.34575,208.625,101.2156
0.26025,188.3,101.2166
0.122,164.25,101.2098
0.1495,142.3475,101.2301
0.03525,141.625,101.1933
0.158,176.425,101.1968
0.08075,147.75,101.1451
0.03275,201.45,101.134
0.046,222.925,101.0944
0.0195,185.15,101.0742
0.0145,216.9,101.0607
0.02075,240.775,101.0944
0.04,214.75,101.1215
0.0825,214.075,101.1552
0.247,219.075,101.216
0.32725,191.925,101.2358
0.42875,188.4,101.2301
0.47525,214.7,101.2646
0.38625,190.075,101.2239
0.34075,160.975,101.2223
0.4665,168.5,101.2244
0.452,193.7,101.2109
0.16375,175.575,101.2109
0.32275,196.05,101.2244
0.284,187.0,101.2447
0.25625,120.1325,101.2717
0.496,36.1475,101.2777
0.392,32.4425,101.3116
0.1905,135.6375,101.3788
0.28475,65.26,101.3658
0.02325,214.3025,101.3769
0.0695,164.225,101.3749
0.16375,144.7825,101.3367
0.034,223.575,101.2564
0.092,156.2025,101.2436
0.07825,187.6225,101.1896
0.471,233.75,101.095
0.73675,192.275,101.0545
0.253,221.925,101.176
0.14675,160.725,101.1606
0.32075,198.125,101.1226
0.28675,202.825,101.1083
0.59575,168.55,101.0827
0.76525,204.3,101.0303
0.5065,195.05,101.0113
0.6155,177.2,101.0331
0.95325,181.075,101.0674
0.97075,180.175,101.2395
1.08075,186.35,101.3256
0.444,140.775,101.3796
0.3325,147.425,101.4693
0.4305,41.45,101.5613
0.39275,208.425,101.6559
0.2265,157.85,101.7038
0.16325,66.7825,101.7364
0.283,128.0175,101.7367
0.1325,114.4775,101.7837
0.24375,66.3425,101.8378
0.173,138.105,101.8648
0.54375,32.42,101.8918
0.64325,31.5975,101.9599
0.3345,117.93,102.0352
0.356,160.975,102.0606
0.77725,179.25,102.107
1.03025,190.225,102.0954
0.78175,177.05,102.1223
1.21225,207.925,102.0558
1.222,214.05,102.0211
