Snow_mm,Solar_Radiation
18.5375,0.0
18.52,0.0
18.495,0.0
18.7925,0.0
18.635,1.002
18.49,14.96
18.49,38.54
18.3675,115.8
18.1475,123.7
18.1,194.0
18.0675,126.5
17.7175,110.1
17.595,124.7
17.465,252.6
17.46,89.1
17.46,32.43
17.46,2.915
17.46,0.0
17.46,0.0
17.46,0.0
17.46,0.0
17.46,0.0
17.46,0.0
17.46,0.0
17.46,0.0
17.45,0.0
17.425,0.0
17.435,0.0
17.3325,8.13
17.2975,47.08
17.245,108.7
17.195,126.3
17.1,152.3
16.95,268.3
16.935,387.7
16.905,515.9
16.85,446.6
16.85,274.0
16.85,155.4
16.89,69.75
17.0425,9.2
17.0725,0.0
17.0775,0.0
17.08,0.0
17.08,0.0
17.065,0.0
17.075,0.0
17.08,0.0
17.075,0.0
17.08,0.0
17.1,0.0
17.235,0.0
17.195,8.74
16.9775,158.0
16.6725,512.6
16.6,742.8
16.6,866.0
16.6,891.0
16.6,773.6
16.59,787.7
16.4675,687.2
16.38,224.4
16.38,66.19
16.38,21.97
16.3175,6.579
16.38,0.0
16.57,0.0
16.6,0.0
16.6,0.0
16.58,0.0
16.39,0.0
16.39,0.0
16.39,0.0
16.3925,0.0
16.3975,0.0
16.3975,0.0
16.4,7.105
16.1225,98.2
16.0,164.7
15.99,345.3
15.99,660.8
15.99,593.5
15.99,658.5
15.99,729.4
15.9775,547.4
15.8275,238.1
15.52,75.17
15.35,23.67
15.35,7.867
15.35,0.0
15.35,0.0
15.3575,0.0
15.36,0.0
15.36,0.0
15.395,0.0
15.525,0.0
15.465,0.0
15.36,0.0
15.315,0.0
15.15,0.0
15.14,16.14
15.065,51.02
14.66,179.9
14.915,303.2
14.9725,447.2
14.955,659.3
14.87,503.8
14.87,666.1
14.6775,602.0
14.3275,303.9
14.01,198.8
14.02,57.18
13.9775,9.19
13.86,0.0
13.7025,0.0
13.44,0.0
13.425,0.0
13.44,0.0
13.44,0.0
13.4975,0.0
13.925,0.0
14.0225,0.0
14.03,0.0
14.03,0.0
13.9975,17.99
13.7175,141.7
13.4475,414.5
13.63,581.3
13.63,704.4
13.625,763.4
13.43,840.0
12.9975,770.9
12.6725,671.9
12.2875,272.8
12.08,158.3
11.975,79.88
11.6725,5.812
11.595,0.0
11.3025,0.0
11.28,0.0
11.3225,0.0
11.43,0.0
11.44,0.0
11.445,0.0
11.4425,0.0
11.45,0.0
11.595,0.0
11.595,0.0
11.7,19.58
11.62,79.67
11.535,129.5
11.7,159.9
11.7,179.6
11.7,157.7
11.7,113.1
11.7,61.74
11.7,64.63
11.7,83.7
11.705,37.15
11.8175,14.16
11.9225,2.357
12.09,0.0
12.1775,0.0
12.315,0.0
12.545,0.0
12.9,0.0
12.96,0.0
12.96,0.0
13.11,0.0
13.7375,0.0
13.9675,0.0
14.2325,0.0
14.4475,8.53
14.54,22.3
14.68,44.5
14.685,97.8
14.7825,77.57
14.89,52.48
14.89,48.68
15.025,54.11
15.33,146.2
15.555,178.8
15.705,93.4
15.74,39.09
15.7475,6.903
15.75,0.0
15.765,0.0
15.925,0.0
16.0575,0.0
16.14,0.0
16.14,0.0
16.14,0.0
16.14,0.0
16.14,0.0
16.17,0.0
16.34,0.0
16.35,4.987
16.35,41.25
16.3475,165.0
16.345,225.9
16.4025,395.8
16.4575,288.0
16.485,382.2
16.51,401.9
16.51,281.1
16.51,201.0
16.51,99.0
16.515,47.23
16.5475,14.48
16.595,0.0
16.705,0.0
16.7425,0.0
16.7725,0.0
16.78,0.0
16.78,0.0
16.78,0.0
16.78,0.0
16.78,0.0
16.78,0.0
16.78,0.015
16.78,26.21
16.78,111.2
16.82,164.4
16.955,203.8
16.985,216.4
16.98,296.7
16.98,690.6
16.98,553.3
16.98,371.5
16.98,331.4
16.98,128.3
16.98,68.88
16.98,18.71
16.99,0.0
16.99,0.0
16.99,0.0
16.99,0.0
16.99,0.0
16.99,0.0
17.0,0.0
17.0675,0.0
17.16,0.0
17.025,0.0
17.0,0.064
17.0,23.63
17.0,136.8
16.99,289.1
16.98,470.5
16.98,759.0
16.98,841.0
16.975,863.0
16.77,914.0
16.49,728.2
16.29,355.9
16.065,75.45
15.91,30.64
15.91,9.3
15.7625,0.0
15.58,0.0
15.49,0.0
15.685,0.0
15.845,0.0
15.91,0.0
15.9,0.0
15.91,0.0
15.91,0.0
15.91,0.0
15.91,0.125
15.91,15.63
15.91,168.6
15.91,442.6
15.9025,606.3
15.9,739.6
15.87,821.0
15.55,846.0
15.04,810.0
14.5875,425.1
14.285,155.9
14.18,121.2
14.1075,56.66
13.8275,20.22
13.7,0.0
13.56,0.0
13.55,0.0
13.55,0.0
13.55,0.0
13.55,0.0
13.5075,0.0
13.3575,0.0
13.29,0.0
13.29,0.0
13.245,0.14
12.99,18.13
12.99,76.9
12.99,138.1
12.9975,222.4
13.135,738.9
12.9275,817.0
12.5125,847.0
11.89,799.6
11.2025,697.1
10.69,518.0
10.2525,104.5
9.9975,49.79
9.715,11.86
9.5075,0.0
9.4225,0.0
9.22,0.0
9.195,0.0
9.2975,0.0
9.58,0.0
9.7375,0.0
9.77,0.0
9.6225,0.0
9.5925,0.0
9.755,0.098
9.76,9.28
9.7625,20.22
9.765,65.27
9.81,200.6
9.98,52.37
9.98,35.64
9.8525,132.8
9.76,106.7
9.605,61.72
9.755,38.45
9.6675,26.95
9.17,17.07
8.91,4.938
8.91,0.0
8.91,0.0
8.91,0.0
8.91,0.0
8.91,0.0
8.895,0.0
8.775,0.0
8.6525,0.0
8.53,0.0
8.52,0.0
8.46,0.076
8.295,11.4
8.2375,22.93
8.055,34.77
8.05,37.28
8.05,21.06
8.05,41.55
8.05,54.14
8.05,74.42
8.05,35.82
7.788,28.15
7.52475,45.26
7.444,14.93
7.24,4.596
7.186,0.0
7.10025,0.0
6.945,0.0
6.73,0.0
6.585,0.0
6.585,0.0
6.585,0.0
6.27325,0.0
5.8865,0.0
5.725,0.0
5.725,0.0
5.49475,2.123
4.995,11.14
4.651,26.97
4.5115,36.28
3.985,35.61
3.74225,58.91
3.193,49.33
2.79075,49.16
2.372,44.8
1.80825,21.74
1.34625,11.59
0.96025,4.751
0.429,0.831
0.31125,0.0
0.1775,0.0
-0.06425,0.0
-0.29525,0.0
-0.33825,0.0
-0.38125,0.0
-0.55325,0.0
